code: 002142, average growth: 4.020919530217906
code: 002958, average growth: 2.4683453879810697
code: 002401, average growth: 2.0661290322580643
code: 002930, average growth: 2.0634920634920637
code: 003816, average growth: 2.0407672430928243
code: 300759, average growth: 1.988872403560831
code: 300616, average growth: 1.9544979079497908
code: 300806, average growth: 1.9540983606557376
code: 002940, average growth: 1.670731707317073
code: 000598, average growth: 1.6256561259761875
code: 300564, average growth: 1.5883777239709442
code: 300790, average growth: 1.559375
code: 000333, average growth: 1.558659800988101
code: 002959, average growth: 1.5453194650817237
code: 300749, average growth: 1.4895833333333333
code: 300827, average growth: 1.4880382775119618
code: 300829, average growth: 1.4672131147540983
code: 300015, average growth: 1.4462669683257918
code: 002818, average growth: 1.444038612053222
code: 002942, average growth: 1.401376146788991
code: 300793, average growth: 1.3788819875776397
code: 002980, average growth: 1.3724489795918366
code: 300624, average growth: 1.3711048158640227
code: 002982, average growth: 1.363861386138614
code: 300476, average growth: 1.3622361665715916
code: 002572, average growth: 1.353723932472691
code: 002918, average growth: 1.3434011818778726
code: 300144, average growth: 1.3395567698846387
code: 300761, average growth: 1.3292123629112662
code: 300699, average growth: 1.3277848911651728
code: 002020, average growth: 1.3252536640360766
code: 300622, average growth: 1.313167259786477
code: 300572, average growth: 1.3025362318840579
code: 002664, average growth: 1.297008547008547
code: 300770, average growth: 1.2790091264667536
code: 002677, average growth: 1.27020202020202
code: 002777, average growth: 1.2696011004126548
code: 300760, average growth: 1.2621452266863251
code: 300586, average growth: 1.2401055408970976
code: 300768, average growth: 1.1997041420118344
code: 002949, average growth: 1.1942307692307692
code: 300815, average growth: 1.1862396204033214
code: 300735, average growth: 1.1849662162162162
code: 300778, average growth: 1.1732522796352585
code: 300623, average growth: 1.1690476190476191
code: 300773, average growth: 1.1355625847266155
code: 300787, average growth: 1.134433962264151
code: 300428, average growth: 1.1231647634584012
code: 002956, average growth: 1.1226993865030674
code: 300579, average growth: 1.1154684095860568
code: 300632, average growth: 1.1081081081081081
code: 300763, average growth: 1.099236641221374
code: 002372, average growth: 1.0924274055798064
code: 300746, average growth: 1.0889570552147239
code: 300777, average growth: 1.0823529411764705
code: 002923, average growth: 1.0654205607476634
code: 300788, average growth: 1.0627503337783712
code: 002968, average growth: 1.0614334470989761
code: 002967, average growth: 1.0610526315789475
code: 300396, average growth: 1.0589535740604274
code: 300601, average growth: 1.0582386363636365
code: 300497, average growth: 1.056586270871985
code: 300822, average growth: 1.056140350877193
code: 002508, average growth: 1.0523205712175305
code: 002970, average growth: 1.0488721804511278
code: 300701, average growth: 1.0461538461538462
code: 002706, average growth: 1.0434467776973209
code: 300833, average growth: 1.0426666666666666
code: 002912, average growth: 1.0400444938820912
code: 300717, average growth: 1.0387596899224807
code: 300580, average growth: 1.037851037851038
code: 300642, average growth: 1.0319488817891374
code: 300753, average growth: 1.0287539936102237
code: 300800, average growth: 1.0276752767527675
code: 300832, average growth: 1.026932668329177
code: 300445, average growth: 1.0261780104712042
code: 300610, average growth: 1.0206422018348624
code: 002971, average growth: 1.016260162601626
code: 002287, average growth: 1.015556441962505
code: 002821, average growth: 1.0076335877862594
code: 000002, average growth: 1.0023775964391692
